FF times,LED times
"(3.2867211332498782, 0.0)","(3.2867211332498782, 1.0)"
"(3.303404996870436, 0.0)","(3.303404996870436, 1.0)"
"(3.3200888604909937, 0.0)","(3.3200888604909937, 1.0)"
"(3.3367727241115515, 0.0)","(3.3367727241115515, 1.0)"
"(3.3534565877321096, 0.0)","(3.3534565877321096, 1.0)"
"(3.370140451352668, 0.0)","(3.370140451352668, 1.0)"
"(3.386824314973225, 0.0)","(3.386824314973225, 1.0)"
"(3.403508178593783, 0.0)","(3.403508178593783, 1.0)"
"(3.4201920422143406, 0.0)","(3.4201920422143406, 1.0)"
"(3.4368759058348983, 0.0)","(3.4368759058348983, 1.0)"
"(3.453559769455456, 0.0)","(3.453559769455456, 1.0)"
"(3.470243633076014, 0.0)","(3.470243633076014, 1.0)"
"(3.4869274966965715, 0.0)","(3.4869274966965715, 1.0)"
"(3.5036113603171293, 0.0)","(3.5036113603171293, 1.0)"
"(3.520295223937687, 0.0)","(3.520295223937687, 1.0)"
"(3.5369790875582447, 0.0)","(3.5369790875582447, 1.0)"
"(3.5536629511788025, 0.0)","(3.5536629511788025, 1.0)"
"(3.57034681479936, 0.0)","(3.57034681479936, 1.0)"
"(3.587030678419918, 0.0)","(3.587030678419918, 1.0)"
"(3.603714542040476, 1.0)","(3.603714542040476, 1.0)"
"(3.6203984056610334, 1.0)","(3.6203984056610334, 1.0)"
"(3.637082269281591, 0.0)","(3.637082269281591, 1.0)"
"(3.653766132902149, 0.0)","(3.653766132902149, 1.0)"
"(3.670449996522706, 0.0)","(3.670449996522706, 1.0)"
"(3.687133860143264, 0.0)","(3.687133860143264, 1.0)"
"(3.703817723763823, 0.0)","(3.703817723763823, 1.0)"
"(3.72050158738438, 0.0)","(3.72050158738438, 1.0)"
"(3.737185451004938, 0.0)","(3.737185451004938, 1.0)"
"(3.753869314625496, 0.0)","(3.753869314625496, 1.0)"
"(3.7705531782460535, 0.0)","(3.7705531782460535, 1.0)"
"(3.7872370418666113, 0.0)","(3.7872370418666113, 1.0)"
"(3.803920905487169, 0.0)","(3.803920905487169, 1.0)"
"(3.820604769107727, 0.0)","(3.820604769107727, 1.0)"
"(3.837288632728285, 0.0)","(3.837288632728285, 1.0)"
"(3.853972496348842, 0.0)","(3.853972496348842, 1.0)"
"(3.8706563599694, 0.0)","(3.8706563599694, 1.0)"
"(3.8873402235899577, 0.0)","(3.8873402235899577, 1.0)"
"(3.9040240872105154, 0.0)","(3.9040240872105154, 1.0)"
"(3.920707950831073, 0.0)","(3.920707950831073, 1.0)"
"(3.937391814451631, 0.0)","(3.937391814451631, 1.0)"
"(3.9540756780721886, 0.0)","(3.9540756780721886, 1.0)"
"(3.9707595416927455, 0.0)","(3.9707595416927455, 1.0)"
"(3.987443405313304, 0.0)","(3.987443405313304, 1.0)"
"(4.004127268933862, 0.0)","(4.004127268933862, 1.0)"
"(4.02081113255442, 0.0)","(4.02081113255442, 1.0)"
"(4.037494996174978, 0.0)","(4.037494996174978, 1.0)"
"(4.054178859795536, 0.0)","(4.054178859795536, 1.0)"
"(4.070862723416093, 0.0)","(4.070862723416093, 1.0)"
"(4.087546587036651, 0.0)","(4.087546587036651, 1.0)"
"(4.104230450657209, 0.0)","(4.104230450657209, 1.0)"
"(4.120914314277766, 0.0)","(4.120914314277766, 1.0)"
"(4.137598177898324, 0.0)","(4.137598177898324, 1.0)"
"(4.154282041518882, 0.0)","(4.154282041518882, 1.0)"
"(4.17096590513944, 0.0)","(4.17096590513944, 1.0)"
"(4.187649768759997, 0.0)","(4.187649768759997, 1.0)"
"(4.204333632380555, 0.0)","(4.204333632380555, 1.0)"
"(4.221017496001113, 0.0)","(4.221017496001113, 1.0)"
"(4.237701359621671, 0.0)","(4.237701359621671, 1.0)"
"(4.254385223242228, 0.0)","(4.254385223242228, 1.0)"
"(4.271069086862786, 0.0)","(4.271069086862786, 1.0)"
"(4.287752950483344, 0.0)","(4.287752950483344, 1.0)"
"(4.3044368141039016, 0.0)","(4.3044368141039016, 1.0)"
"(4.321120677724459, 0.0)","(4.321120677724459, 1.0)"
"(4.337804541345017, 0.0)","(4.337804541345017, 1.0)"
